"ID"	"R_G"	"LOD"
"NC_000936.1_S3"	"0.987606415642436"	"1"
"NC_010429.1_S4"	"0.978583551259038"	"1"
"NC_025708.1_S1"	"0.990446031070509"	"1"
"NC_027637.1_S2"	"0.804136448831368"	"1"
"NC_039057.1_S1"	"0.990732359089193"	"1"
"S1080_ML_001_A"	"0.969172269447802"	"1"
"S1081_ML_002_A"	"0.972867931191525"	"1"
"S1082_ML_003_A"	"0.995345662681121"	"1"
"S1083_ML_004_A"	"0.962654044273776"	"1"
"S1084_ML_005_A"	"0.992469123049734"	"1"
"S1085_ML_006_A"	"0.977839176215923"	"1"
"S1086_ML_007_A"	"0.95052652433159"	"1"
"S1087_MG_001_A"	"0.86789365764573"	"1"
"S1088_MG_002_A"	"0.989836840828023"	"1"
"S1089_MG_003_A"	"0.995024700384536"	"1"
"S1090_MG_004_A"	"0.994952845651913"	"1"
"S1091_MG_005_A"	"0.914041173266557"	"1"
"S1092_MG_006_A"	"0.997740844877702"	"1"
"S1093_MG_007_A"	"0.990721041287384"	"1"
"S1094_MG_008_A"	"0.989737883874704"	"1"
"S1095_MG_009_A"	"0.995023589570402"	"1"
"S1096_MG_010_A"	"0.996782946296422"	"1"
"S1097_MG_011_A"	"0.91237556202462"	"1"
"S1098_MG_012_A"	"0.985540615786968"	"1"
"S1099_MG_013_A"	"0.991621719334597"	"1"
"S1100_MG_014_A"	"0.998648895631968"	"1"
"S1101_MG_015_A"	"0.991348018896041"	"1"
"S1102_MG_016_A"	"0.995893165117157"	"1"
"S1103_MG_017_A"	"0.836368645473285"	"1"
"S1104_MG_018_A"	"0.990767580154511"	"1"
"S1105_MG_019_A"	"0.990823821615925"	"1"
"S1106_MG_020_A"	"0.988582320454627"	"1"
"S1107_MG_021_A"	"0.989435235468589"	"1"
"S1108_MG_022_A"	"0.987779073329801"	"1"
"S1109_MG_023_A"	"0.991838994398125"	"1"
"S1110_MG_024_A"	"0.988792398204472"	"1"
"S1111_MG_025_A"	"0.998961697161907"	"1"
"S1112_MG_026_A"	"0.97353812791356"	"1"
"S1113_MG_027_A"	"0.988268956469082"	"1"
"S1114_MG_028_A"	"0.98362458622562"	"1"
"S1115_MG_029_A"	"0.992282262820147"	"1"
"S1116_MG_030_A"	"0.992681750785779"	"1"
"S1117_MG_031_A"	"0.856455148111222"	"1"
"S1118_MG_032_A"	"0.967554307209637"	"1"
"S1119_MG_033_A"	"0.92279853326396"	"1"
"S1120_MG_034_A"	"0.992239575007316"	"1"
"S1121_MG_035_A"	"0.986178393190073"	"1"
"S1122_MG_036_A"	"0.996399291247967"	"1"
"S1123_MG_037_A"	"0.943979317909141"	"1"
"S1124_MG_038_A"	"0.991807957355567"	"1"
"S1125_MG_039_A"	"0.997645913757516"	"1"
"S1126_MG_040_A"	"0.986553263877127"	"1"
"S1127_MG_041_A"	"0.99665603307366"	"1"
"S1128_MG_042_A"	"0.990444960304965"	"1"
"S1129_MG_043_A"	"0.994390365229667"	"1"
"S1130_MG_044_A"	"0.924817502867452"	"1"
"S1131_MG_045_A"	"0.995834055295657"	"1"
"S1132_MG_046_A"	"0.846681197221808"	"1"
"S1133_MG_047_A"	"0.96739452780837"	"1"
"S1134_MG_048_A"	"0.996928486304313"	"1"
"S1138_MG_049_A"	"0.926903053845902"	"1"
"S1139_MG_050_A"	"0.991048745090877"	"1"
"S1140_MG_051_A"	"0.989484723788789"	"1"
"S1141_MG_052_A"	"0.990449810207444"	"1"
"S1142_MG_053_A"	"0.917071688061844"	"1"
"S1143_MG_054_A"	"0.941035051083423"	"1"
"S1144_MG_055_A"	"0.988849304403493"	"1"
"S1145_MG_056_A"	"0.988129925066382"	"1"
"S1146_MG_057_A"	"0.981131974134881"	"1"
"S1147_MG_058_A"	"0.989353481778578"	"1"
"S1148_MG_059_A"	"0.991126780961245"	"1"
"S1149_MG_060_A"	"0.991728995353171"	"1"
"S1150_MG_061_A"	"0.98971216719455"	"1"
"S1151_MG_062_A"	"0.992339937255404"	"1"
"S1152_MG_063_A"	"0.993008609801317"	"1"
"S1153_MG_064_A"	"0.990417365998089"	"1"
"S1154_MG_065_A"	"0.940569880437495"	"1"
"S1155_MG_066_A"	"0.997288544167965"	"1"
"S1156_MG_067_A"	"0.987072290445357"	"1"
"S1157_MG_068_A"	"0.952354641625995"	"1"
"S1158_MG_069_A"	"0.990946620090969"	"1"
"S1159_MG_070_A"	"0.766294494893842"	"1"
"S1160_MG_071_A"	"0.997115438271552"	"1"
"S1161_MG_072_A"	"0.99242094275254"	"1"
"S1162_MG_073_A"	"0.994415812998518"	"1"
"S1163_MG_074_A"	"0.995298572913879"	"1"
"S1164_MG_075_A"	"0.838432792774349"	"1"
"S1165_MG_076_A"	"0.97107658531258"	"1"
"S1166_MG_077_A"	"0.993044591378015"	"1"
"S1167_MG_078_A"	"0.989264410302562"	"1"
"S1168_MG_079_A"	"0.983703572878253"	"1"
